root	Akkadian:	Amharic:	Amorite:	Arabic:	Aramaic:	Argobba:	Biblical Aramaic:	Canaanite:	East Ethiopic:	Eblaitic:	Epigraphic South Arabian:	Gafat:	Geʕez (Ethiopian):	Gurage:	Harari:	Harsusi:	Hebrew:	Jibbali:	Judaic Aramaic:	Mandaic Aramaic:	Mehri:	Modern Arabic:	Modern Aramaic:	Phoenician:	Soqotri:	Syrian Aramaic:	Tigrai (Tigriñña):	Tigre:	Ugaritic:
ṣVr	-	-	-	ṣrr	ṣwr	-	-	-	-	-	-	-	-	-	-	-	ṣwr	-	-	-	-	-	-	-	-	-	-	-	-
ṣibār	ṣibāru	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ṣVrVp	ṣarāpu	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
t_ikinn	šikinnu	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
t_Vmm	-	-	-	t_mm	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
t_Vʔay	-	-	-	t_y	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
t_irʔ	šerʔu	-	-	t_ry	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
t_VrVw	-	-	-	t_rw	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
t_umāl	-	-	-	t_umālat	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ṣVʕVr	ṣēru	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ṭ_Vh_ut	ṣah_ātu	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
dVbdVb	-	-	-	dbdb	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
dVḥVṭ_	daṣû	daṭä	-	-	-	-	-	-	-	-	-	-	-	datä	-	-	-	-	-	-	-	-	-	-	-	-	dähaṣä	dähaṣa	-
dall	dallu	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	dal	-	-	-	-	-	-	dl	-	-	-	-	dl
dVm	-	-	-	dwm	-	-	-	-	-	-	-	-	-	-	-	adīm	dūm	-	-	-	adyīm	-	-	-	deme	-	-	-	dm
dVmVk	-	-	-	dmk	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
daparan	daparānu	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	dprn
dVwVl	dâlu	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
dīd	dīdu	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
wVpVl	-	-	-	wfl	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
pVnah_	-	-	-	fnh_	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
purr	-	-	-	furr	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
pitt	pittu	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
pVt_Vʔ	pašû	-	-	nft_	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	fäšfäšä	-
pVtt	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	fett	-	-	-	-	-	-	-	-	-	-	-
pVyaz	piazu	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
pVɣVr	-	-	-	fɣr	-	-	-	-	-	-	-	-	-	-	-	-	pʕr	-	-	-	-	-	-	-	-	pʕr	-	-	-
pVrVh	-	färra	-	-	-	-	-	-	-	-	-	-	frh	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
pVwVš	puāsu	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
puwaṭ	-	-	-	fūṭat	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
puy	pû	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
pVḥVḳ	-	-	-	-	-	-	-	-	-	-	-	-	fḥq	-	fēhaqa	-	-	-	-	-	-	-	-	-	-	-	fähaqʷä	-	-
pVḳir	-	-	-	fqr	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
pVwVt	-	-	-	fwt	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
gabāb	gabābu	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
gabīb	gabību	-	-	gabīb	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
gVbVḥ	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	gāwiḥ	gäbḥe	gäbḥä	-
gadd	-	-	-	gadd	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
gVd	-	-	-	-	-	-	-	-	-	-	gdd	-	-	-	-	-	-	-	-	-	-	-	-	-	-	gdd	-	-	-
gadd	-	-	-	gadyat	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	gada	-	-	-	-	-	-	-	-	-
gadīl	-	-	-	ǯadīl	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
gVdVm	gadāmu	-	-	gdm	gdm	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
gVlaʔ	-	-	-	glʔ	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
galgal	galgaltu	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
gVn	gana	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
garr	garru	-	-	garrat	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
garab	garābu	-	-	ǧarab	-	-	-	-	-	-	-	-	-	-	-	-	gārāb	gɛ́rb	gārāb	girba	garb	-	-	-	gerb	garbā	-	gǝrbeb	-
ɣVwVl	-	-	-	ʁwl	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ɣaliṭ_	-	-	-	ɣlẓ	-	-	-	-	-	-	-	-	-	-	-	ɣelez	-	-	-	-	ɣelayz	-	-	-	-	-	-	-	-
ɣa	-	-	-	ɣarɣarat	-	-	-	-	-	-	-	-	-	-	-	-	ʕōr	ɣɔrɣɔ́rɔ́t	ʕūr	-	ɣǝrɣār	-	-	ʕr	-	-	-	-	ɣr
ɣuz	-	-	-	ɣzz	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ɣat_	-	-	-	ʁt_t_	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ɣVpVy	-	-	-	ɣfy	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ɣurlat	urullu	-	-	ɣurlat	-	-	-	-	-	-	-	-	-	-	-	-	ʕorlā	-	ʕurlā	-	-	-	-	-	-	ʕurlā	-	-	-
ɣVwVr	-	-	-	ɣwr	-	-	-	-	-	-	-	-	-	-	-	šewɣor	-	-	-	-	-	-	-	-	-	-	-	-	-
ʕupVy	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	ʕopī	-	-	-	-	-	-	-	-	-	-	-	-
ʕagūr	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	ʕagūr	-	-	-	-	-	-	-	-	-	-	-	-
ʕall	-	-	-	ʕall	-	-	-	-	-	-	-	-	ʕalʕala	-	-	-	ʕal	-	-	-	-	-	-	-	-	-	-	-	-
ʕVlVl	-	-	-	ʕll	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ʕamm	amû	-	-	ʕa	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ʕVnVn	-	-	-	ʕnn	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ʕVwVy	-	-	-	ʕwy	-	-	-	-	-	-	-	-	-	-	-	-	-	ʕwy	-	-	-	-	-	-	-	-	-	-	-
ɣVbb	-	ǝbät	-	-	-	-	-	-	-	-	-	-	ʕǝbā	-	-	ɣeb	-	ɣɔb	-	-	ɣōb	-	-	-	-	-	-	ʕiba	-
ʕVbur	ebēru	-	-	ʕbr	-	-	-	-	-	-	ʕbr	-	-	-	-	-	ʕbr	ʕɔ̄r	-	-	ʔābōr	-	-	-	-	ʕbr	-	-	ʕbr
ʕVn	enû	-	-	ʕnn	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ʕVtVḳ	etēqu	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
hVwVy	ewu	-	hwy	-	hwy	-	-	-	-	-	-	-	-	-	-	-	hwy	-	-	-	-	-	-	-	-	-	-	-	-
hub	-	-	-	hbb	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
hVyVd	-	hedä	-	-	-	-	-	-	-	-	-	-	hyd	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
nVham	-	-	-	nhm	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
hVw	-	-	-	hwy	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	hwt
hilāl	-	-	-	hilāl	-	-	-	-	-	-	-	-	helāl	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	hll
huš	-	-	-	hss	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
humṣ	umṣatu	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
hry	erû	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	hry	-	-	-	-	-	-	-	-	-	-	-	hry
hVbit	abātu	-	-	hbt	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ḥaḳl	eqlu	-	-	ḥaql	-	-	-	-	-	-	-	-	ḥaql	-	-	-	-	-	-	-	-	-	-	-	-	ḥaql	-	-	-
ḥVl	ellu	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	ḥll	-	-	-
ḥus	-	-	-	ḥss	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ḥut	-	-	-	ḥtt	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ḥayar	-	-	-	ḥayar	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ḥVr	-	-	-	-	-	-	-	-	-	-	-	-	ḥrr	-	-	-	-	-	-	-	-	-	-	-	-	ḥar	-	-	-
ḥVrut_	erēšu	̣arräsä	-	ḥrt_	-	-	-	-	-	-	-	̣arräsä	ḥarasa	̣aräsä	-	-	ḥrš	-	-	-	-	-	-	ḥrš	-	ḥrt	ḥaräsä	ḥarsa	ḥrt_
ʕabūr	ebūru	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	ʕăbūr	-	ʕăbūrā	-	-	-	-	-	-	-	-	-	-
ḥig	egu	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ḥVkuk	ekēku	akkäkä	-	ḥkk	-	-	-	-	-	-	-	-	ḥkk	-	-	hẹk	-	ḥɔttk	ḥăkak	-	ḥǝk	-	-	-	-	ḥak	-	ḥakka	-
ḥVmaṣ̂	emē	-	-	ḥmḍ	-	-	-	-	-	-	-	-	-	-	-	ḥameẓ	ḥms	-	-	-	-	-	-	-	-	-	-	-	-
ḥVmVr	-	hamär	-	ḥmr	-	-	-	-	-	-	-	-	ḥamar	-	-	-	-	-	-	-	-	-	-	-	-	-	ḥamär	ḥamär	-
ḥVṭVr	eṭeru	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ḥVd_im	-	-	-	ḥd_m	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ḫVb	h_abu	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ḫaṣṣ	ḫaṣṣinnu	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ḫaŝVw	ḫašû	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ḫVdVr	-	-	-	ḫdr	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ḫarr	ḫarru	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ḫašVy	ḫašû	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ḫilVp	ḫilēpu	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
nVḫas	-	-	-	nh_s	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ḫVṣ	ḫaṣû	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
nVḫVr	naḫru	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ḫutm	ḫutmu	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ḫabb	ḫabbu	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
h_abVʔ	h_abūtu	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ḫud	ḫadādu	-	-	ḫdd	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ḫarw	ḫarû	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ḫuṭ	ḫaṭāṭu	-	-	-	-	-	-	-	-	-	-	-	-	-	-	ḫtat	-	-	-	-	ḫeṭ	-	-	-	-	-	-	-	-
ḫVl	ḫalālu	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ḫVlVy	ḫelû	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ḫVšiḳ	-	-	-	ḫsq	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ḫVtVk	ḫatāku	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	ḥtk	-	-	-	-	-	-	-	-	-	-	-	-
ḫVṭVm	ḫaṭāmu	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
kVsVḥ	-	-	-	ksḥ	-	-	-	-	-	-	-	-	-	-	-	-	ksḥ	-	-	-	-	-	-	-	-	-	-	-	-
kukkul	kukkullu	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
kupp	kuppātu	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
karar	kararu	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
nVkuš	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	nkos	-	-	-	-	-	-	-	-	-	-	-
kin	kinītu	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
kīd	kīdu	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
nVkVt_	-	näkkäsä	-	-	-	näkkäsa	-	-	-	-	-	näkkäsä	nakkasa	-	-	-	-	-	-	nkt	-	-	-	-	-	nkt	näk_äsä	näkša	-
kilām	kilāmu	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
kVt_	kašāšu	-	-	kat_īr	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
kVŝaʔ	-	-	-	kšʔ	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
kumVy	kumû	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
kVrVh	-	-	-	krh	-	-	-	-	-	-	-	-	-	-	-	kerōh	-	-	-	-	kerōh	-	-	-	-	-	-	-	-
kVwaz	-	-	-	kwz	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
kupp	kuppu	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ḥVkum	ekēmu	-	-	ḥkm	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
kunat_	kunāsu	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	kunnātā	-	-	-
kanak	kanaktu	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
kišan	kiššanu	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
kizVy	kizû	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
kVmVʔ	kamû	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
kVnVy	-	-	-	kny	-	-	-	-	-	-	-	-	-	-	-	-	kny	-	-	-	-	-	-	-	-	-	-	-	-
ḳab	qabūtu	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ḳVb	ḳabû	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ḳVyVl	qiālu	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	ql
ḳamḥ	qēmu	-	-	qamḥ	-	-	-	-	-	-	-	-	qamḥ	-	-	-	qemaḥ	-	-	-	-	-	-	-	-	qemḥo	-	-	-
ḳar	-	-	-	qārat	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ḳawt	-	-	-	qūt	-	-	-	-	-	-	-	-	-	-	-	qūt	-	-	-	-	qawt	-	-	-	-	-	-	-	-
ḳVyVṣ̂	-	-	-	qyḍ	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ḳVnaʔ	-	-	-	qnʔ	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ḳVraḥ	-	-	-	qrḥ	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ḳʷalip	ḳilpu	-	-	ḳalafat	-	-	-	-	-	-	-	-	ḳʷǝlfat	-	-	ḳelfēt	-	ḳiẑifɔ́t	ḳalp̄ā	ḳlapta	ḳǝlēfūt	-	-	-	ḳalífoh	ḳǝlāpǝtā	-	-	-
ḳʷirr	-	-	-	qurr	qur	-	-	-	-	-	-	-	qʷǝr	-	-	-	qor	-	-	-	-	-	-	-	-	-	ḳʷärir	ḳǝrur	-
ḳVrVS	qarāsu	-	-	qrš	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ḳVṭVʕ	qatû	-	-	qṭ	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ḳubb	kūbu	-	-	qubbat	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
bVlug	-	-	-	blg	-	-	-	-	-	-	-	-	-	-	-	-	blg	-	-	-	-	-	-	-	-	-	-	-	-
bVlaʕ	-	bälla	-	blʕ	-	-	-	-	-	-	-	-	balʕa	-	-	bōla	blʕ	-	-	-	bōla	-	-	-	-	-	bälʕe	bälʕa	-
bāriḥ	-	-	-	bāriḥ	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
bVrVy	barû	-	-	bry	-	-	-	-	-	-	-	-	-	-	-	-	-	ebrer	-	-	-	-	-	-	-	-	-	-	-
bariḳ	berqu	bärräqä	-	barq	-	-	-	-	-	-	brq	-	brq	-	-	-	bārāq	-	-	-	bōreq	-	-	-	-	barq	bärqi	bärq	brq
ʔabrad	-	-	-	ʔabrad	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
bVt	-	-	-	btt	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	bättä	-
bVwVl	-	-	-	bwl	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
bVrVʔ	-	-	-	brʔ	-	-	-	-	-	-	-	-	-	-	-	-	brʔ	-	-	-	-	-	-	-	-	-	-	-	-
bint_̣a	biṣṣūru	-	-	bund_̣ur	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
bVhVl	baʔāl	-	-	bhl	-	-	-	-	-	-	-	-	-	-	-	behelēt	bhl	-	bihel	-	behlīt	-	-	-	-	-	-	-	-
bišr	bišru	-	-	busrat	-	-	-	-	-	-	-	-	-	-	-	beser	-	-	-	-	bēser	-	-	-	-	-	-	-	-
baʕbaʕ	-	-	-	baʕbaʕt	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
bVḳ	-	-	-	-	bqq	-	-	-	-	-	-	-	-	-	-	-	bqq	-	-	baq	-	-	-	-	-	-	-	-	-
bVrVy	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	bry	-	-	-	-	-	-	-	-	-	-	-	-
baṣal	-	-	-	baṣal	beṣl	-	-	-	-	-	bṣl	-	-	-	-	beṣel	bāṣal	-	-	-	beṣal	-	-	-	-	-	-	-	-
badd	-	-	-	badd	badd	-	-	-	-	-	-	-	-	-	-	-	bad	-	-	-	-	-	-	-	-	-	-	-	-
barm	barmu	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
batt	-	-	-	battat	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
bVzVy	buzzuʔu	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	bzy	-	-	-	-	-	-	-	-	-	-	-	-
sVgVʕ	-	-	-	-	-	-	-	-	-	-	-	-	sagʷa	-	-	-	-	-	-	-	-	-	-	-	-	-	-	sägʷe	-
sVʕVy	seʔû	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
saḫl	saḫlû	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
sVlVḳ	-	-	-	slq	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
saḥm	sāmu	-	-	saḥm	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
samīd	samīdu	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
saḫḫ	saḫḫu	-	-	saḫaḫ	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
wVsVr	asāru	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	ysr	-	-	-	-	-	-	-	-	-	-	-	wsr
sVwVr	sâru	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
sVwVH	sâʔu	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
sinʕ	sūnu	-	-	sinʕ	-	-	-	-	-	-	-	-	-	-	šān	-	-	-	-	-	-	-	-	-	-	-	-	-	-
sVp	-	-	-	-	-	-	-	-	-	-	-	-	sff	-	-	-	spy	-	-	-	-	-	-	-	-	-	-	-	-
sVrsVr	-	-	-	srsr	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
diḳḳ	daḳḳ	ṭǝḳit	-	diḳḳ	-	-	-	-	-	-	-	-	daḳiḳ	-	ṭīt	-	-	-	-	dirdiḳy	-	-	-	-	dḳḳ	daḳdǝḳ	-	-	dḳ
diḳar	diqāru	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
dīn	-	-	-	dīnat	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
dVwVn	-	-	-	dwn	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
dVbVb	dabābu	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
dug	-	-	-	dgg	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
dVt_	-	-	-	dt_t_	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	dt_
dVnVn	-	-	-	dnn	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
dVgVl	dagālu	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	dägäl	-	-	-	-	-	-	-	-	dgl	-	-	-
dVgVy	-	-	-	dgy	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
dVpVr	-	-	-	dfr	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
dVwVn	-	-	-	dwn	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
