root	ags.	ahd.	ai.	air.	aisl.	aksl.	alb.	anord.	arm.	as.	av.	cymr.	gall.	got.	gr.	hitt.	lat.	lett.	lit.	mhd.	mir.	mnd.	norw.	russ.	slav.	umbr.	vgl.
dhu̯ē̆r	duru	turi	dvāram	dorus	fordyri	dvьri	derë	-	-	-	-	drws	dvorico	daurōns	vermutlich	-	forus	-	dvãras	-	-	-	-	-	-	furo	gall
ē̆	-	-	ādā	-	-	-	-	-	in	-	-	-	-	-	η	-	-	-	-	-	-	-	-	-	-	-	ai
ē	-	ihhā	ā́	-	-	-	-	-	-	-	-	-	-	-	ἦ	-	eh	-	ẽ	-	-	-	-	-	e	-	-
e	-	-	idám	betontes	-	-	-	-	-	ina	-	eið	-	is	-	-	-	-	jìs	-	-	-	-	-	-	-	hierogl
ebhi?	-	-	abhi	-	-	obь	-	-	-	-	-	-	-	bi	-	-	ob	-	ap	-	-	-	-	-	-	-	-
ed	-	-	athem	-	-	jamь	-	etia	utem	-	-	ys	-	fraitan	ἐδεστός	et	edō	ę̂mu	-	-	-	-	-	-	-	-	auch
edh	-	attuh	-	-	-	-	-	-	-	-	-	-	-	-	-	-	ebulus	-	-	-	-	-	-	-	-	-	-
edh	-	-	-	-	-	-	-	-	-	-	-	-	-	-	ὄστριμον	-	-	-	-	-	-	-	-	-	-	-	-
eg	-	-	-	-	-	-	-	ekla	-	-	-	-	-	-	-	-	egeō	-	-	-	-	-	-	-	-	-	-
ēĝ	-	-	ā́ha	-	-	-	-	-	asem	-	-	-	-	-	ἦ	-	aiiō	-	-	-	-	-	-	-	-	aiu	-
eĝ	-	-	ahám	-	-	azъ	-	-	es	-	-	-	-	ik	ἔγω	úuk	egō̆	-	àš	-	-	-	-	-	-	-	-
eĝhero	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	е̌žъ	-	-
eĝhi	-	igil	-	-	-	-	-	-	ozni	-	-	-	-	-	ἐχι̃νος	-	-	-	ežỹs	-	-	-	-	-	ězgъ	-	-
eĝhs	-	-	-	ess	-	-	-	-	-	-	-	-	-	-	ἐξ	-	exterus	-	iž	-	-	-	-	-	-	-	-
egnis	-	-	agníḥ	-	-	ognь	-	-	-	-	-	-	-	-	-	-	ignis	-	ugnìs	-	-	-	-	-	-	-	-
ehem	-	-	ah	-	-	-	-	-	-	-	-	-	-	-	-	-	ehem	-	-	-	-	-	-	-	-	-	nhd
ei	ēode	-	ḗmi	-	-	-	-	-	-	-	-	wyf	-	iddja	hom	-	eō	eĩmu	-	-	-	-	-	-	-	-	-
ē̆i	-	-	ē	hē	-	-	-	-	-	-	āi	-	-	-	εἶα	-	ei	-	eĩ	nhd	-	-	-	-	-	-	-
ei	-	īgo	ḗta	-	-	-	-	-	aigi	-	-	-	ivo	-	οἴη	-	-	-	ievà	-	-	-	-	-	-	-	-
ei	-	-	īṣā́	-	ags	-	-	-	-	-	-	-	-	-	οἰσᾱ	-	-	-	íena	-	-	-	-	-	-	-	-
eibh	-	-	yábhati	-	-	-	-	-	-	-	-	-	-	-	οἴφω	-	-	-	-	-	-	-	-	-	i̯ebō	-	-
eig	-	-	-	-	-	-	-	-	-	-	-	-	-	aihtrōn	οἶκτος	-	-	-	-	-	éigid	-	-	-	-	-	-
ēik	ǣht	-	ī́śē	-	-	-	-	-	-	-	iše	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
eis	-	-	íṣu	-	-	-	-	eisa	-	-	aēš	-	-	-	ἰός	-	īra	-	aistrà	-	-	-	-	-	-	-	den
eis	-	-	-	-	-	-	-	íss	-	-	isu	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ek̂u̯os	eoh	-	áśviya	ech	-	-	-	-	-	-	-	-	-	-	erklären	-	equīnus	-	-	-	-	-	-	-	-	-	pannon
el	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	auch
el	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	über
el	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	álksna	-	-	-	dial	-	-	-	-
el	-	-	-	-	-	-	-	-	aɫmuk	-	-	-	-	-	ὄλολυς	-	-	-	nualdė́ti	-	-	-	mdartl	-	-	-	-
el	-	-	-	-	-	-	-	-	eɫeṙn	-	-	-	-	-	ὄλλυμι	huullaai	aboleō	-	-	-	-	-	-	-	-	-	-
el	-	-	-	-	-	-	-	-	eɫanim	-	-	-	-	-	ἐλα	-	-	-	-	-	-	-	-	-	-	-	-
el	-	-	-	elc	-	ačъnъ	-	illr	-	-	-	-	-	-	-	-	ulciscor	-	álkti	-	-	-	-	-	-	-	-
el	-	-	aratníḥ	uilenn	-	-	ërë	-	aɫeɫn	-	-	olwyn	-	-	-	-	ulna	-	ušìs	-	-	-	-	-	-	-	-
ēl	-	-	āli	-	āll	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	aisl
ēlā	-	-	ā́rā	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
elg	-	ilki	-	-	-	-	-	-	aɫkaɫk	-	-	-	-	-	-	-	-	-	el̃gtis	-	-	-	-	-	-	-	-
elkos	-	-	árśas	-	-	-	-	-	-	-	-	-	-	-	ἕλκος	-	ulcus	-	-	-	-	-	-	-	-	-	-
em	-	-	-	em	-	imǫ	-	-	-	-	-	-	-	-	-	úemijami	emō	jęmu	imù	-	-	-	-	-	-	emantur	-
embhi	-	imbi	-	-	-	-	-	-	-	-	-	-	-	-	ἐμπίς	-	-	-	-	-	-	-	-	-	-	-	-
en	-	as	nijá	in	-	on	inj	-	i	-	-	-	ande	in	ἐν	-	in	-	į̃	-	-	-	-	-	-	-	ingen
en	-	-	-	-	-	-	-	-	-	-	-	-	-	fram	ἔνος	-	-	-	pérnai	-	-	-	-	dial	-	-	-
ēn	-	-	-	-	-	-	-	-	-	-	-	-	-	-	ἤν	-	-	-	-	-	-	-	-	-	-	-	-
enebh	-	naba	nábhya	imbliu	-	-	-	-	-	-	nabānazdišta	-	-	-	ὀμφαλός	-	umbilīcus	-	-	-	-	-	-	-	-	-	-
enek̂	-	-	áṃśaḥ	-	-	-	-	-	hasi	-	-	-	-	-	ēnek̂	-	nactus	-	-	-	-	-	-	-	-	-	-
ē̆neu	-	-	ānuṣák	-	-	-	-	-	-	-	-	-	-	inu	-	-	sine	-	-	-	-	-	-	-	-	-	-
eneu̯en	-	-	náva	nōmad	-	-	nëndë	-	inn	-	-	-	-	niunda	εἴνατος	-	novem	-	deviñtas	-	-	-	-	-	-	nuvime	-
engʷ	-	-	-	-	økkr	-	-	-	-	-	-	-	-	-	ἀδήν	-	-	-	-	-	-	-	-	-	-	-	-
eno	-	-	anyá	-	-	usw	-	enn	soin	-	-	-	-	-	ἔνη	anniiš	enim	-	añs	-	-	-	-	-	-	-	-
enomn̥	-	-	nā́ma	ainmm	-	-	geg	-	anun	-	-	-	-	namo	ὄνομα	aamaan	nōmen	-	-	-	-	-	-	-	ьmę	-	finnougr
enos	-	-	ánaḥ	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
enq	-	-	-	-	-	-	nëkónj	-	-	-	-	-	-	-	ὀγκάομαι	-	uncō	-	-	-	-	anken	-	-	jęčati	-	-
ent	-	-	átkaḥ	-	-	-	ent	-	-	-	-	-	-	-	ἤτριον	-	-	-	-	-	-	-	-	-	-	-	-
epero	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	aprugnus	vepris	-	-	-	-	-	-	-	-	-
epi	-	-	ápi	oíbell	-	-	épërë	aptann	ev	-	ape	uffarn	-	iftuma	ἐπί	appa	ob	ap	ap	-	-	-	-	-	-	-	-
ēpi	-	-	āpí	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
epop	-	-	-	-	-	-	-	-	popop	-	-	-	-	-	ἐποποι̃	-	upupa	puppukis	-	-	-	-	-	-	-	-	-
eph	-	-	-	-	-	-	-	-	epem	-	-	-	-	-	ἕψω	-	-	-	-	-	-	-	-	-	-	-	-
er	-	-	-	irar	-	-	-	-	oror	-	-	-	-	ara	ὄρνις	ḫaaraaš	-	-	erẽlis	-	-	-	-	-	-	-	-
er	-	irah	-	heirp	-	-	-	-	oroj	-	-	-	-	-	ἔριφος	-	ariēs	-	-	-	-	-	-	-	-	erietu	-
er	-	-	árṇa	-	-	-	-	-	yaṙnem	-	rāna	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
er	-	-	-	-	-	-	-	-	-	-	-	-	-	-	ἔρᾱ	-	-	-	-	-	-	-	-	-	-	-	-
er	-	-	r̥tē	-	-	oriti	-	-	-	-	-	-	-	-	ἐρη̃μος	-	rārus	ā̀rdaws	ardaũ	-	-	-	-	-	-	-	-
ereb	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	ruobs	ùrbinti	-	-	-	-	-	-	-	-
ē̆rebh	-	-	-	-	iarpi	-	-	-	-	-	-	-	-	-	ὀρφνός	-	-	ir̃be	-	-	-	-	-	-	mit	-	-
ered	-	-	árdati	-	-	-	-	-	-	-	arǝdvī	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
eregʷho	-	araweiz	-	-	-	-	-	-	-	-	-	-	-	-	ὄροβος	-	ervum	-	-	-	orbaind	-	-	-	-	-	aber
erek	-	-	ikṣā́	-	-	-	-	-	und	-	-	-	-	-	-	-	ricinus	-	-	-	-	-	-	-	-	-	-
erek	-	-	r̥kṇáḥ	-	-	-	-	-	-	-	-	-	-	-	-	-	-	er̃cis	rankù	-	-	-	-	-	-	-	-
eres	-	-	r̥ṣáti	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	erśkė̃tis	-	-	-	-	-	-	-	-
eres	-	-	-	-	-	rosa	resh	-	-	-	-	-	-	-	ἀπεράω	-	rōs	-	-	-	-	-	-	-	-	-	-
ereu	-	-	-	-	-	-	-	-	-	-	-	-	-	-	ἔρευμι	-	-	-	-	-	-	-	-	-	-	-	-
ereu	-	-	áruṣ	-	-	-	-	ørr	-	-	-	-	-	-	-	-	-	-	-	-	-	are	-	-	-	-	-
erǝ	-	ruodar	arítra	rā	-	-	-	rōa	-	-	-	-	-	-	ἐρέτης	-	rēmus	-	iriù	-	-	-	-	-	-	-	-
erǝ	reord	-	-	-	-	-	-	-	-	-	airime	araf	-	razn	ἐρωή	-	-	-	-	-	-	ruste	-	-	-	-	-
erǝd	-	-	-	-	ǫrðugr	-	rit	-	-	-	ǝrǝdva	hardd	-	-	-	-	arduus	-	-	-	-	-	-	-	orstǫ	-	-
ergh	-	arag	r̥ghāyáti	-	-	-	-	-	-	-	-	-	-	-	ὀρχέω	-	-	-	aržùs	-	-	-	-	-	-	-	-
erkʷ	-	-	árcati	erc	-	-	-	-	erg	-	-	-	-	-	-	arkuu̯anuun	-	-	-	-	-	-	-	-	-	-	-
ers	-	-	-	err	-	-	-	-	oṙ	-	-	-	-	-	ὄρρος	-	-	-	-	-	-	-	-	-	-	-	-
es	eom	-	-	nur	em	jesmь	jam	-	em	-	-	-	-	im	εἴην	eešmi	sum	-	-	-	-	-	-	-	-	-	hitt
esus	-	-	-	-	-	-	-	-	-	-	-	-	-	-	ἐύς	išḫaaaš	erus	-	-	-	-	-	-	-	-	-	-
ē̆s	-	-	ā́stē	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
esen	-	-	-	-	-	-	-	-	-	-	-	-	-	asneis	-	-	-	-	vasarà	-	ēorna	-	-	ósenь	-	-	-
ē̆sr̥gʷ	-	-	ásr̥k	-	-	-	-	-	ariun	-	-	-	-	-	poet	eešḫar	-	asins	-	-	-	-	-	-	-	-	dazu
eten	-	-	-	-	-	-	-	-	-	-	-	-	-	-	ἔτνος	-	-	-	-	-	-	-	-	-	-	-	-
ēter	-	-	-	inathar	-	-	-	ǣðr	-	-	-	-	-	-	hom	-	-	-	-	-	-	-	-	-	-	-	-
eti	-	-	áti	-	-	-	-	-	-	-	-	-	eti	iþ	ἔτι	-	etiam	-	-	-	-	-	-	-	-	-	-
ētī	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ētmén	ǣðm	-	ātmán	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ētro	-	ātar	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
eu	-	-	ūná	-	-	-	-	-	unain	-	-	-	-	wans	ἐτός	-	vānus	-	vañskariai	-	-	-	-	-	-	vac̨etum	-
eu	-	-	-	-	-	-	-	-	aganim	-	aoɵra	-	-	-	-	-	exuō	-	aũklė	-	-	-	-	-	-	anovihimu	ett
eu	-	-	apivátati	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	jaučiù	-	-	-	-	-	-	-	-
eu	-	-	-	-	-	-	-	-	-	-	-	-	-	-	εὐάζω	-	ovō	-	-	-	-	-	-	-	-	-	auch
ēudh	-	-	ū́dhar	-	-	-	-	-	-	-	-	-	-	-	οὖθαρ	-	ūber	-	ūdruóju	-	-	-	-	-	vymę	-	russ
euk	-	-	ókas	-	-	učiti	-	-	usanim	-	-	-	-	bíūhts	ἕκηλος	-	-	jûkt	ū́kis	-	-	-	-	-	-	-	-
eus	-	ustar	óṣati	-	-	-	ethe	ysja	-	-	-	-	-	-	εὕω	-	ūrō	-	usnìs	-	-	-	mdartl	-	-	-	-
gag	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	gúogė	-	-	-	-	-	-	-	-
gal	-	calua	-	-	-	glava	-	-	-	-	-	-	-	-	-	-	-	gàla	galvótas	-	-	-	-	-	-	-	-
gal	-	-	gargaraḥ	-	-	glagolją	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	von
gal	-	-	-	dīgal	-	-	-	-	-	-	-	gallu	-	-	-	-	-	-	galiù	-	-	-	-	-	-	-	-
gandh	-	-	-	-	kǣna	-	-	kanna	-	-	-	-	-	-	-	-	-	-	-	-	gann	-	-	-	-	-	-
gang	canc	-	gañjaḥ	-	-	-	-	-	-	-	-	-	-	-	γαγγαίνειν	-	-	-	-	-	gēim	-	-	-	-	-	-
ĝā̆r	-	chara	-	gāir	-	-	-	-	-	-	-	gair	-	-	γη̃ρυς	-	garriō	-	-	-	-	-	-	-	-	-	-
garǝĝ	-	-	-	garg	-	groza	-	-	karcr	-	-	-	-	-	γοργός	-	-	-	gražóju	-	grāin	-	-	-	-	-	-
gāu	-	-	-	-	-	-	-	-	-	-	-	-	-	-	γηθέω	-	gaudeō	-	džiaugiúos	-	gūaire	-	-	-	-	-	-
ĝebh	-	-	-	-	kafi	-	-	-	-	-	-	-	-	-	-	-	-	-	žãbas	-	-	kavele	-	-	-	-	-
ĝegh	cǣge	-	-	-	kaggi	-	-	-	cag	-	-	-	-	-	-	-	-	-	žãgaras	-	-	-	dial	-	-	-	-
gei	-	-	jihmáḥ	-	keikr	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
gēi	-	-	gāyati	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	gýstu	-	-	-	-	-	-	-	-
ĝēi	cinu	chīmo	-	-	kīll	-	-	-	ciɫ	kio	-	-	-	keinan	-	-	-	zẽiju	-	-	-	-	-	-	-	-	-
geid	-	-	-	-	kitla	-	-	-	kitak	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ĝeid	-	-	-	-	-	-	-	-	-	-	-	-	-	-	hom	-	-	-	žindù	-	-	-	-	-	-	-	-
geiĝ	-	-	-	gēr	-	-	gjize	-	kcanem	-	-	-	-	-	-	-	-	-	gìžti	-	-	-	-	-	-	-	-
ĝeis	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	kis	-	-	-	-	-	-	-
gel	colt	klunga	guṭikā	-	kless	žьly	gogëlë	klengiask	-	-	-	-	-	kilþei	redupl	-	galla	-	-	klank	-	klatte	dial	-	-	-	aisl
gel	-	kelah	-	-	kjǫlr	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
gelǝ	cōl	chalawa	-	-	-	chladъ	-	kuldi	-	-	-	-	-	kalds	γελανδρόν	-	glacies	-	-	-	-	-	-	-	-	-	-
ĝel	-	-	-	-	-	-	-	-	caɫr	-	-	-	-	-	γελάω	-	-	-	-	-	-	-	-	-	-	-	-
gelebh	-	-	-	-	-	-	-	-	-	-	-	-	-	-	γλάφω	-	-	-	-	-	-	-	-	globà	globiti	-	-
geli	-	-	giri	-	-	-	-	-	-	-	-	-	-	-	γαληρός	-	glīs	-	-	-	-	-	-	-	-	-	-
ĝelōu̯	-	-	-	-	-	-	-	-	tal	-	-	-	-	-	γάλωος	-	glōs	-	-	-	-	-	-	-	iegt	-	jedoch
gem	cimb	-	-	-	-	žьmǫ	-	kumla	čim	-	-	-	-	-	-	-	-	gùmstu	gùmulas	-	gemel	-	kams	-	-	gomia	-
ĝembh	-	champ	jámbhaḥ	-	-	-	dhëmp	-	vielleicht	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ĝeme	-	-	jā́mātar	-	-	-	-	-	-	-	-	-	-	-	-	-	gener	-	-	-	-	-	-	-	-	-	av
ĝen	-	-	-	-	-	-	-	-	-	-	-	-	-	-	γεννάω	-	-	-	-	-	-	-	-	-	-	-	-
ĝen	-	usw	jānā́mi	itargninim	-	-	-	kanna	-	-	-	-	-	kunnan	-	-	-	-	-	-	-	-	-	-	-	-	-
genebh	cenep	-	-	-	-	-	-	knefill	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	oben
geng	-	kankur	-	-	-	-	-	kǫkkr	-	-	-	-	-	-	γόγγρος	-	gingīva	-	gùnga	-	-	-	-	-	gǫz	-	auch
gengh	-	-	-	-	-	gąžvica	-	kinga	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	auch
ĝenu	-	-	jñubā́dh	-	-	-	-	-	cunr	-	-	-	-	kniu	γόνυ	gienu	genista	-	-	-	-	-	-	-	-	-	unten
ĝenu	-	-	hánuṣ	giun	-	-	-	-	-	-	-	-	-	kinnus	γένυς	-	gena	-	-	-	-	-	-	-	-	-	γένειον
ger	-	-	gaṇáḥ	grafann	-	-	-	-	-	-	-	-	-	-	dor	-	grex	gùrste	gretà	-	graig	-	-	-	gъrtati	-	παλαστή
ger	cran	kranuh	-	-	trani	-	ngurónj	kǣra	-	-	-	corn	tarvos	-	γέρην	-	-	gārns	garnỹs	-	-	-	-	-	-	-	unten
ger	crōg	krācho	-	-	-	-	-	kraki	-	-	-	-	-	-	-	-	-	gredzens	-	-	-	-	-	-	-	-	mit
ger	-	-	járate	-	-	-	tosk	karskr	-	-	-	-	-	-	ἐγείρω	-	-	-	-	-	-	-	-	-	-	-	av
ĝer	-	-	jarimán	-	-	zrьno	-	karl	cer	-	zaurvan	-	-	kaúrn	γέρων	-	-	-	-	-	-	-	-	-	-	-	auch
gerebh	ceorfan	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	žerbъ	-	-
ĝers	-	-	-	-	-	-	-	kjarr	caṙ	-	-	gyrr	-	-	γέρδιος	-	gerra	-	-	-	-	-	-	-	-	-	-
gēu	-	-	-	gāu	-	-	-	-	-	-	-	-	-	-	γύης	-	-	-	-	-	-	-	kaa	-	-	-	-
ĝeu	-	-	junā́ti	-	-	-	-	-	-	-	zavah	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
geulo	-	-	-	-	kol	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ĝeus	-	-	jṓṣati	asagū	-	-	desha	-	-	-	-	-	-	kiusan	γεύομαι	-	-	-	-	-	-	-	-	-	-	-	ags
gi̯eu	cēace	kewa	-	-	tyggja	-	-	-	kveni	-	-	-	-	-	-	-	-	-	-	-	-	-	-	žvákatь	-	-	ferner
glag	-	-	-	-	-	-	-	-	-	-	-	-	-	-	γάλα	-	-	-	-	-	-	-	-	-	-	-	-
gleĝ	-	-	-	-	kløkkr	-	-	-	-	-	-	-	-	-	-	-	-	-	glẽžnas	-	-	-	-	-	-	-	-
ĝlei	-	-	jráyati	-	-	-	-	-	-	-	zrayah	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
gleubh	-	klioban	-	-	-	-	-	-	-	-	-	-	-	-	γλύφω	-	glūbō	-	-	-	-	-	-	-	-	-	-
glōgh	-	-	-	-	-	-	-	kleggi	-	-	-	-	-	-	γλω̃χες	-	-	-	-	-	-	-	-	-	-	-	-
gol	-	-	-	-	-	-	-	-	kalaɫ	-	-	-	-	-	γωλεός	-	-	-	guliù	-	-	-	-	-	-	-	-
gol	-	-	-	-	-	-	-	-	koɫr	-	-	-	-	-	-	-	-	-	-	-	-	-	-	golьjá	-	-	-
gō̆u	-	kūma	gavatē	-	-	govorъ	-	-	-	-	-	-	-	-	γόος	-	gāvia	gauda	gaujà	-	-	-	dial	-	gǫdǫ	-	-
gou̯ǝ	-	-	-	-	-	o	-	-	-	-	gūnaoiti	-	-	-	γυᾱ	-	comminus	-	gáunu	-	-	-	-	-	-	-	aber
gras	-	-	grásatē	-	-	-	-	-	-	-	-	-	-	-	γράω	-	grāmen	-	-	-	-	-	-	-	-	-	τρώγλη
grēbhos	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
gred	-	krizzōn	-	-	-	-	gërrusë	krota	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
grem	-	-	-	-	kramr	pogręznoti	-	-	-	-	-	-	-	-	-	-	grāmiae	-	-	-	-	-	-	-	-	-	-
greus	-	krospel	-	-	-	-	-	-	-	-	-	-	-	kriustan	-	-	-	-	grukšė́ti	-	-	-	-	-	-	-	-
greus	-	-	-	-	-	-	-	-	-	-	-	-	-	-	γρῡνός	-	-	-	-	-	-	-	-	-	-	-	-
greut	crūdan	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
grōd	-	-	-	-	-	gradъ	-	-	karkut	-	-	-	-	-	-	-	grandō	-	grúodas	-	-	-	-	-	-	-	-
gru	-	-	-	-	-	-	-	-	-	-	-	-	-	-	γρυ̃	-	grundiō	-	-	-	-	-	-	-	-	-	-
gha	-	gickazzen	-	gigren	gaga	-	gogësínj	-	-	-	-	-	-	-	-	-	-	gâgát	gaĩgalas	gāgen	gēd	-	-	gógolь	-	-	-
ghabh	-	-	gábhastiḥ	gaibid	-	gobino	-	-	-	-	-	-	-	giba	-	-	habeō	-	gãbana	-	-	-	-	-	ursprüngl	b	-
ghabholo	-	gabala	-	mir	gaflak	-	-	-	-	-	-	gafl	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ĝhāgʷh	-	-	-	-	-	-	zok	-	jag	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ghaido	-	-	-	-	-	-	-	-	-	-	-	-	-	gaits	-	-	haedus	-	-	-	-	-	-	-	-	-	-
ghais	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	haereō	-	-	-	-	-	-	-	-	-	-
ĝhaiso	-	as	hḗṣas	gaë	-	-	-	-	-	-	-	-	-	-	χαι̃ος	-	-	-	-	-	foga	-	-	-	-	-	-
ghaitā	-	-	-	-	-	-	-	-	-	-	gaēsa	-	-	-	χαίτη	-	-	-	-	-	gaīset	-	-	-	-	-	-
ĝhal	-	-	-	galar	galli	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ĝhalgh	-	-	-	-	-	-	-	-	jaɫk	-	-	-	-	galga	-	-	-	-	žalgà	-	-	-	-	-	-	-	-
ĝhan	-	-	-	-	gana	-	-	-	-	-	-	-	-	-	ἀχανής	-	-	-	-	-	-	-	-	-	-	-	-
ĝhans	-	gans	haṁsáḥ	gēiss	-	-	-	-	-	-	-	-	-	-	χήν	-	ānser	-	žąsìs	-	-	-	-	-	gǫsь	-	slav
ĝhasto	gierd	-	-	gataid	-	-	-	-	-	-	-	-	-	gazds	-	-	hasta	-	-	-	gat	-	-	-	-	-	-
ĝhau	-	gotfater	hávate	guth	-	zovǫ	-	-	jaunem	-	zavaiti	-	gutuater	gudja	καυχάομaι	-	-	-	žavė́ti	goting	-	-	-	-	-	-	-
ghau̯o	-	-	-	gāu	-	-	-	-	-	-	-	-	-	-	-	-	haud	-	-	-	-	-	-	-	-	-	-
ĝhðem	-	-	-	dū	-	-	dhe	-	-	-	zā̊	-	-	-	χθών	-	hūmānus	-	-	-	-	-	-	-	-	hondu	gr
ĝhði̯és	-	-	hyáḥ	indē	-	-	dje	í	-	-	-	neithiwr	-	gistradagis	χθές	-	herī̆	-	-	-	-	-	-	-	-	-	-
ĝhðū	-	-	-	-	-	-	-	-	jukn	-	-	-	-	-	ἰχθυ̃ς	-	-	zutis	žuvìs	-	-	-	-	-	-	-	-
ĝhē	-	geisini	jáhāti	-	-	-	-	-	xaɫ	-	zazāmi	-	-	gaidw	χάζομαι	-	hērēs	-	bei	-	-	-	-	-	-	-	-
ĝhē	-	-	-	-	-	zějǫ	-	-	-	-	-	-	-	-	χάσκω	-	-	-	-	-	-	-	-	-	-	-	-
ghebhel	-	-	-	-	-	-	-	-	-	-	-	-	-	-	κεφαλή	-	-	-	-	-	-	-	-	-	-	-	-
ghed	-	-	hadati	-	-	-	dhjes	gat	jet	-	-	-	-	-	χέζω	-	-	-	-	-	-	-	-	-	-	-	-
ghedh	geador	gataro	gádhyaḥ	-	gōða	-	-	-	-	-	-	-	-	gōþs	-	-	-	gāds	-	-	-	-	-	-	-	-	-
ghegh	-	-	-	-	-	-	-	-	gog	-	-	-	-	-	-	-	-	-	gõgas	-	-	-	gagr	-	-	-	-
ĝheĝh	-	-	jáhakā	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	it
ĝhei	-	-	-	gōite	gedda	-	-	-	-	-	zaēni	-	-	gails	-	-	-	-	žeidžiù	-	-	-	-	-	-	-	-
gheidh	-	-	-	gīall	-	židǫ	-	-	-	-	-	-	-	-	-	-	-	-	geidžiù	-	-	-	-	ždu	-	-	-
gheiĝh	-	-	jēh	-	-	-	-	-	-	-	-	-	-	faihugeigan	-	-	-	-	-	-	-	-	-	-	-	-	-
gheis	-	-	-	-	geiski	-	-	-	-	-	zaēša	-	-	usgeisnan	-	-	-	-	-	-	-	-	-	-	-	-	-
ghel	-	as	pragalbháḥ	-	gjalla	-	-	gø̄la	-	-	-	-	-	gōljan	χελιδών	-	-	-	-	-	-	-	-	-	-	-	-
ĝhel	-	-	ghoṭa	gel	-	-	dhelpërë	-	-	-	zari	gell	-	-	χόλος	-	galbus	-	-	-	-	-	-	-	-	-	-
ĝhel	-	-	halá	-	-	-	-	-	joɫ	-	-	-	-	-	γάλλος	-	-	-	-	-	-	-	-	-	-	-	-
ĝhēlā	-	-	hālā	-	-	-	-	-	-	-	-	-	-	-	χάλις	-	-	-	-	-	-	-	-	-	-	-	-
gheidh	-	-	gŕ̥dhyati	-	-	gladъ	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	galda	-	-
ghelē̆ĝh	-	-	-	-	-	želězo	-	-	-	-	-	-	-	-	χαλκός	-	-	-	geležìs	-	-	-	-	-	-	-	-
ghelǝd	-	-	-	-	-	žlědica	-	-	-	-	-	-	-	-	hom	-	-	-	-	-	-	-	-	-	-	-	-
